municipality_code,population,population_growth,avg_net_salary,nb_second_home,vacants_housing_rate,nb_tot_housing,nb_vacants_housing,rental_max_all,rental_min_all,rental_med_all,rental_max_house,rental_min_house,rental_med_house,rental_max_apartment,rental_min_apartment,establishments_importance,sites_importance,n_sales,total_amount,avg_price_m2,med_size_m2,n_house,total_amount_house,house_avg_price_m2,house_med_size_m2,n_appartement,total_amount_appartement,appartement_avg_price_m2,appartement_med_size_m2
02691,53570.0,-0.531045751633985,23925.163549924728,359,0.12908772277882485,30243,3904,15.79,6.87,10.11,12.64,6.94,9.53,19.25,6.8,0.6192734635698269,0.4539186237076543,853.0,95866294.0,1351.2895662368112,79.97823721436343,626.0,74241724.67,1267.3019169329073,84.98125377237542,227.0,21624569.33,1582.9030837004404,55.008210180623976
06004,73438.0,0.7172735376808514,30073.77307999483,22826,0.05137035214955644,63013,3237,25.81,12.59,17.57,26.0,14.8,20.39,25.77,12.14,3.7051691954835024,2.3553395119181664,2534.0,952796046.2,5333.04775059195,59.99653242578519,330.0,328033662.0,7644.963636363636,112.50040875523423,2204.0,624762384.2,4986.8897459165155,54.99894961236164
06027,52178.0,1.4918986209176976,27964.47404028806,4941,0.05544933078393882,31903,1769,25.78,12.84,17.73,27.05,15.02,20.39,25.38,12.16,0.22,0.9169218479394202,1338.0,400993924.7,4850.95067264574,57.00010622477161,228.0,131413210.1,6194.328947368421,90.00097828213657,1110.0,269580714.6,4575.013513513513,53.0044734724717
06029,74545.0,0.7841546677482603,26269.00033070404,32423,0.02320143634566939,71849,1667,25.87,12.04,17.46,26.91,14.56,20.94,25.78,11.83,2.9997603636694414,1.818269498279598,3292.0,1349043012.04,5660.716889428919,58.00599449149162,204.0,300817845.6,7604.544117647059,130.99939246658568,3088.0,1048225166.44,5532.303432642487,56.499793841178956
06088,342669.0,0.48001360576133134,26015.300538037533,31943,0.13879393632184805,230817,32036,26.15,13.48,18.25,23.61,15.63,19.54,26.34,13.3,8.275145422100055,5.408969959566775,9159.0,2692081802.7,4783.91003384649,55.00402468473303,539.0,428515230.38,6310.6586270871985,114.99917857729588,8620.0,2263566572.32,4688.443967517402,53.99435390484837
10387,61957.0,-0.06290728434092951,23085.44666522585,1534,0.09562390204252864,38139,3647,19.03,7.88,11.72,13.81,7.76,10.91,20.46,7.91,1.2410285207205234,1.5096325036034433,1599.0,199071251.3,1975.906191369606,59.006211180124225,287.0,57738708.0,2217.254355400697,84.03361344537815,1312.0,141332543.3,1923.1112804878048,55.98455598455598
11262,55516.0,0.25462753950338257,23399.278860978382,6101,0.09057816983738973,37636,3409,17.08,7.11,11.03,15.49,6.97,11.3,18.29,7.23,1.4967773659424548,1.903701733127192,1455.0,237987965.06,2391.8274914089347,62.000939408172854,541.0,131987235.25,2636.8502772643255,89.0041928721174,914.0,106000729.81,2246.797592997812,50.0
13001,145133.0,1.422811100162824,32145.168030821846,4986,0.09410732077620154,84308,7934,26.6,10.34,16.49,22.11,9.77,15.84,27.85,10.5,3.121358024503169,4.888290652306191,2908.0,1360724035.35,5471.707359009629,65.99378881987577,728.0,757406739.03,6940.39010989011,122.98361055623764,2180.0,603317296.32,4981.248165137615,55.00143869733289
13004,50454.0,-1.1306852697380076,24781.515189860158,1010,0.10343219883082884,27883,2884,17.75,7.75,12.21,15.66,7.47,12.09,20.41,8.1,2.3657380180235146,7.235773330427799,984.0,277261359.69,3304.746951219512,76.49373638932448,644.0,220256419.89,3410.0295031055903,88.0065176902483,340.0,57004939.8,3105.329411764706,56.49002849002849
14118,106230.0,0.6804913185230133,25395.455980911738,2243,0.08956141139790749,66714,5975,21.03,8.68,12.43,16.35,9.23,12.69,22.02,8.56,1.9019194028957755,2.615727308003865,2457.0,452540108.39,2987.7887667887667,59.9923576614444,366.0,130697218.75,3428.8196721311474,98.49571427066212,2091.0,321842889.64,2910.5925394548062,52.00528867342442
17300,77205.0,1.433376251412355,25792.50723679412,6320,0.06606823627857443,52582,3474,22.31,8.29,13.55,20.76,8.35,13.78,23.06,8.26,2.2520858404786455,2.5189604246558623,1929.0,604213149.58,4752.899948159668,64.99837504062398,710.0,292226679.66,4422.081690140845,89.9991117427607,1219.0,311986469.92,4945.583264971288,48.00365742151783
18033,64541.0,-0.1963877033463235,25493.272459593667,946,0.13730897095585393,38803,5328,16.17,7.3,10.88,15.28,8.19,10.91,16.91,6.56,0.864666141349137,3.978262152034327,1361.0,180220899.82,1696.8817046289494,71.0135571336346,631.0,108169134.22,1753.7892234548335,89.99354422207875,730.0,72051765.6,1647.6917808219177,55.01397904630187
21231,158002.0,0.7318908029122717,26111.473894882383,3087,0.0750139167515676,95209,7142,19.47,8.37,11.84,14.85,7.89,11.12,20.32,8.46,1.9074893169189238,5.037267858183977,3725.0,638731363.92,2762.098523489933,57.99648506151142,491.0,166315690.15,3405.107942973523,88.00234672924611,3234.0,472415673.77,2664.474025974026,53.99272549640896
25056,117912.0,0.9736673089274284,24496.612538842983,1807,0.10055351859454408,70639,7103,18.83,7.68,11.45,14.94,7.54,10.83,19.39,7.69,1.6024443620565065,3.135685143808241,2332.0,361718700.54,2349.7920240137223,64.01045068582626,288.0,87754738.0,2732.9166666666665,106.00216328142213,2044.0,273963962.54,2295.809686888454,60.99385919922635
26362,64749.0,0.0355344065753993,25322.37053951787,1245,0.12634500991407802,37825,4779,18.61,8.21,11.97,18.55,8.33,13.14,18.63,8.18,1.206378192766501,1.0869898673432847,1377.0,238565833.45,2372.80174291939,69.00328587075575,301.0,87609918.23,2789.843853820598,98.00550206327372,1076.0,150955915.22,2256.138475836431,63.00841817935722
29019,139926.0,0.23208836549619694,24545.240985841032,2904,0.0680722242829622,83573,5689,16.68,7.38,10.56,13.37,6.58,9.91,17.79,7.64,2.223597275463939,1.3274063615206346,3577.0,529557319.21,2145.8157674028516,67.98603026775321,743.0,169891445.25,2374.935397039031,92.99363057324841,2834.0,359665873.96,2085.7466478475653,63.00114547537228
29232,63283.0,0.18522622930057242,25124.550836835093,1132,0.09533942833123163,38064,3629,17.3,7.55,10.64,15.83,7.98,10.95,18.64,7.16,1.37136839132402,1.5761712766285807,1509.0,240532816.58,2087.0967528164347,69.00800985828712,643.0,145970031.62,2178.679626749611,98.00295857988165,866.0,94562784.96,2019.0969976905312,55.00585844816389
2A004,71361.0,0.7681771326093934,25505.753746040566,3371,0.032989273426431896,34587,1141,21.79,10.02,13.99,16.22,9.57,13.07,22.38,10.07,1.3793186059649811,1.5932224690590606,995.0,272499219.29,3833.5316582914575,70.00307031010132,57.0,38081838.2,5001.7192982456145,104.01721664275466,938.0,234417381.09,3762.543710021322,68.00262482612297
30189,148561.0,-0.7164195063923073,24647.09926685261,4183,0.0762993762993763,81770,6239,17.02,7.64,11.21,13.22,7.16,10.33,18.7,7.86,1.6408269969038594,2.452871900294544,3133.0,607312154.75,2577.800191509735,66.99147381242388,975.0,315954342.04,3058.2071794871795,96.02076124567473,2158.0,291357812.71,2360.748841519926,57.00027670171555
31555,493465.0,1.3633151749693928,28886.08724005022,11130,0.08120360095386826,296477,24075,20.56,10.15,13.65,15.12,9.34,12.02,21.65,10.31,5.787565577633274,7.696443804124111,9840.0,2263168083.43,3639.972967479675,60.0,1508.0,660108722.88,4152.930371352785,95.99250200989096,8332.0,1603059360.55,3547.1333413346138,55.00115405891523
33063,260958.0,1.513218292436247,29983.97377402773,8279,0.06930990839713788,159602,11062,24.2,11.67,16.1,18.77,11.31,14.77,25.87,11.78,4.453670877478466,6.554351546365426,5955.0,2248411739.31,5189.721914357682,64.0,1570.0,978295847.32,5595.126114649682,100.0,4385.0,1270115891.99,5044.57149372862,54.00095831336847
33281,72197.0,1.954443393162264,28417.55641135047,1673,0.03531102979613173,38260,1351,21.38,11.23,14.6,18.05,10.86,14.08,23.56,11.49,1.3523495117008313,0.847251930492069,1383.0,432117542.0,4035.227042660882,70.0,582.0,268747587.82,4579.518900343643,95.99761333983594,801.0,163369954.18,3639.749063670412,61.992723201791215
33318,65245.0,1.353030726690907,29937.472499112002,428,0.03563204082902845,32134,1145,19.86,10.87,14.37,17.0,10.82,13.71,23.25,10.93,0.3228133633722996,1.112599696161198,985.0,350536674.23,4278.610152284264,80.00188786105343,593.0,274755819.23,4570.6239460371,98.0003959611958,392.0,75780855.0,3836.8647959183672,54.50378396972825
34032,78308.0,0.9136715679325835,22659.467514390977,2025,0.1651394118799382,45943,7587,15.79,6.85,10.41,14.71,7.55,10.79,16.45,6.43,0.8546331148478964,1.1418756154396223,2198.0,334275788.88,2049.667424931756,68.00832755031229,672.0,146459252.06,2089.815476190476,91.98912970376585,1526.0,187816536.82,2031.9875491480996,57.99498285318763
34172,295542.0,1.8924127659427858,25484.716865762148,7250,0.07432191760824501,171255,12728,21.7,10.2,14.75,17.01,10.11,13.27,22.43,10.21,3.5636777460795397,3.869023871011994,5747.0,1204282222.08,3458.400730816078,59.00266463646745,637.0,276243754.66,4118.207221350079,93.99720800372266,5110.0,928038467.42,3376.150880626223,53.990049550367985
35238,220488.0,1.2676366843033415,27612.64983343576,4781,0.06459826850001958,127635,8245,23.86,11.0,14.78,17.77,11.7,14.57,24.83,10.89,2.687727759970218,3.2413764767321416,4081.0,1076705398.02,4018.128154864004,64.00541271989175,580.0,328731612.3,5504.0948275862065,100.0,3501.0,747973785.72,3771.952584975721,61.99186991869919
37261,137087.0,0.45726680492148564,26029.276439447553,2940,0.1012250830564784,86688,8775,20.86,8.63,12.21,15.14,8.18,11.24,22.38,8.75,3.0618903120610748,2.6471733798229256,2348.0,490763028.77,3121.9982964224873,63.010069259134,540.0,199895346.62,3736.5944444444444,85.99792161239785,1808.0,290867682.15,2938.4352876106195,55.986119240429424
38185,158198.0,0.34760545512211305,28623.15941737853,4605,0.11718947315249785,98985,11600,22.81,9.23,13.14,16.23,8.97,11.86,23.04,9.24,2.504192752833653,2.1290152993032643,3096.0,504199145.85,2772.1511627906975,60.0,80.0,28325771.0,3698.0125,90.0068554203037,3016.0,475873374.85,2747.5925066313,59.989140236279454
42218,173821.0,0.42290382404428506,24137.62364987792,2234,0.12389008458881826,99895,12376,16.64,6.99,10.27,13.59,6.4,9.65,17.02,7.06,1.1654630925704381,2.56713232456139,4208.0,438861608.96,1498.583650190114,67.97020484171323,346.0,75003194.49,2173.5028901734104,94.50275878947281,3862.0,363858414.47,1438.1170378042466,65.02763188638417
44109,318808.0,1.4866077965734803,29390.98995547114,7886,0.05691990658057425,181975,10358,20.89,10.42,13.93,16.62,10.12,12.98,21.99,10.49,3.4519512416710674,4.031810779731593,6735.0,1907597974.82,4157.4512249443205,63.001852995676344,1453.0,731418575.06,4848.556090846524,95.00299222022741,5282.0,1176179399.76,3967.3385081408555,55.005500550055004
44184,71394.0,1.0974383664452914,25740.631070144354,2781,0.07944514501891553,41236,3276,17.45,8.3,11.75,15.83,9.23,12.47,18.57,7.67,0.33095913968126434,1.2182739950095094,1601.0,366338388.1,3135.677701436602,68.0015111446921,696.0,212076821.84,3028.0114942528735,93.49696472889204,905.0,154261566.26,3218.47955801105,51.00728675525075
45234,116269.0,0.026669419639024916,26742.70679949796,1949,0.10210310025986584,66188,6758,18.05,8.41,12.11,16.41,9.23,12.89,18.53,8.17,1.5360970263715972,1.905700599575694,2396.0,448782775.72,2675.8651919866443,65.98984771573605,619.0,185410432.84,2733.9434571890147,99.98056365403305,1777.0,263372342.88,2655.634214969049,55.0
49007,155850.0,0.8685634400807718,25706.00260684856,2388,0.06559035769483082,89937,5899,19.91,8.05,11.77,15.9,7.81,11.2,21.09,8.12,1.278183684426336,3.598866821337606,3144.0,703003154.0,3278.953880407125,65.99908966772873,772.0,276179965.74,3425.103626943005,93.99730843026401,2372.0,426823188.26,3231.387436762226,58.00115731729238
49099,54037.0,-0.27497877680581206,25287.682709147593,459,0.05319884936095838,27463,1461,15.25,7.53,10.2,14.16,8.04,10.34,16.92,6.75,0.7700181387867092,0.7172026810274212,1146.0,212255926.83,2137.785340314136,79.01011393712355,731.0,164191089.05,2185.079343365253,94.98327759197325,415.0,48064837.78,2054.479518072289,56.022408963585434
50129,78549.0,-0.7517941979177212,26904.37078791062,1567,0.07233737392430832,43228,3127,15.32,7.61,10.86,16.09,8.33,11.54,14.46,6.84,1.3933414060368718,1.29429678825787,990.0,174355204.4,2279.8747474747474,75.01967187283947,616.0,125124590.28,2205.9724025974024,89.00401102783832,374.0,49230614.12,2401.596256684492,52.99885210506703
51454,181194.0,-0.5581441296079848,26051.66285536469,2796,0.08834786612564391,104247,9210,19.81,7.87,11.61,14.96,6.76,10.32,21.07,8.16,2.176735890256517,3.913424341693101,2889.0,562944056.27,2748.3527172031845,67.00416914830257,662.0,198900571.8,2911.3066465256798,91.99574610492364,2227.0,364043484.47,2699.9128872923216,60.0
54395,105058.0,0.16494255613290765,27551.14907069543,2962,0.11288752755274382,69866,7887,21.22,8.79,12.56,18.12,9.66,12.58,21.58,8.69,1.6697550268815005,4.820542603434261,2596.0,445712539.48,2519.245377503852,62.010443864229764,259.0,90694319.8,2946.992277992278,103.01109350237718,2337.0,355018219.68,2471.839965768079,58.005319148936174
56121,57246.0,0.28379230607524786,24255.415741053774,1171,0.08367459878251245,36140,3024,21.02,8.62,12.58,16.36,7.89,12.61,22.64,8.87,0.8673675468271056,0.45618941136587776,1274.0,230205906.84,2551.8673469387754,68.00790075346085,355.0,97652053.26,2759.307042253521,92.99781181619257,919.0,132553853.58,2471.7355821545157,60.99960645415191
56260,53719.0,0.5258430330476349,26736.371895571523,2351,0.08726428949068908,34046,2971,19.83,8.89,12.63,19.84,9.74,14.19,19.81,8.51,1.3368640590422958,0.4196917103346758,1181.0,334540940.56,3756.5114309906858,64.00259909031838,370.0,183186714.2,4133.483783783784,111.50222892911957,811.0,151354226.36,3584.5265104808877,50.0
59009,61957.0,-1.2275415690213176,29169.76220436224,554,0.0433735780584828,28658,1243,19.09,10.07,13.13,15.26,9.82,11.93,22.31,10.28,0.645743093727629,1.426258470805213,932.0,247327277.1,3641.793991416309,74.9963524948935,487.0,182505662.6,3398.2792607802876,99.00990099009901,445.0,64821614.5,3908.2921348314608,34.00435255712731
59183,86279.0,-0.6746100270534683,25846.189010577033,1489,0.07474677666673865,46303,3461,16.57,7.53,10.66,14.58,7.63,10.27,18.07,7.46,1.0410454814027954,1.5762151285874293,1399.0,227190160.83,2014.275911365261,79.94186046511628,748.0,141141960.33,1890.6951871657755,92.49152416003867,651.0,86048200.5,2156.2703533026115,61.00577081615828
59350,234475.0,0.5907386592763464,27877.807347725968,4514,0.09097273849307456,138547,12604,20.95,10.3,14.36,13.11,8.02,11.08,23.17,10.94,3.73312892606,4.68413907562279,4957.0,1131644981.36,3891.938874319145,56.005719733079125,1176.0,336633710.23,3034.0119047619046,85.0018746103857,3781.0,795011271.13,4158.778894472362,48.00514800514801
59512,98828.0,0.7533974247876829,22711.46625362469,252,0.10820546070167857,41643,4506,19.26,8.58,11.8,15.12,8.59,10.79,22.81,8.56,0.14378503859183217,0.6419903922197843,1365.0,211539003.1,1966.7809523809524,77.9989241527703,823.0,135610247.17,1609.6901579586877,89.97429305912597,542.0,75928755.93,2509.0055350553507,58.00472141430377
59599,98656.0,1.2458693376572683,23436.707864309195,190,0.09124415470733224,43411,3961,19.14,8.68,11.86,16.52,8.72,11.3,22.68,8.62,0.24959256673318841,0.6666385222927612,1776.0,276924238.06,1943.7550675675675,78.01284247240412,1104.0,186195867.36,1887.9338768115942,82.98847865913108,672.0,90728370.7,2035.4613095238096,65.49785525933257
60057,57071.0,0.8232488296086915,24610.4520274633,323,0.09894899644978734,28449,2815,18.32,8.4,12.12,15.85,8.66,12.13,19.57,8.26,0.7240557914688875,0.7779006643627665,819.0,129624963.71,2067.807081807082,67.99230275817833,349.0,74586586.0,2318.378223495702,85.97748208802456,470.0,55038377.71,1881.7446808510638,61.01603397151956
62193,72509.0,-0.575902590190458,23226.60986521876,650,0.10182391851872354,36131,3679,15.48,7.2,10.21,13.61,7.27,9.97,17.45,7.12,0.9973198972674224,0.9528231931214373,1353.0,187679961.5,2004.7642276422764,75.0,805.0,108401353.5,1552.6608695652174,84.0,548.0,79278608.0,2668.894160583942,52.99260131899837
63113,147865.0,0.7707825043957062,26123.51247469909,3406,0.07968207320331283,89832,7158,18.04,7.87,11.28,13.83,6.84,10.4,18.93,8.09,2.565284688514261,2.43967449395111,1439.0,214823568.17,2367.1570535093815,64.99356499356499,223.0,51981796.0,2638.0224215246635,85.995085995086,1216.0,162841772.17,2317.4835526315787,61.01341802200882
64102,51894.0,0.9394876582832445,24342.245694591547,1359,0.06403225806451612,31000,1985,21.71,9.46,13.55,21.07,9.15,15.15,21.82,9.51,1.1754768645662839,1.4323527988109932,1287.0,365940005.73,4259.474747474747,61.99581714968629,121.0,78400948.25,5285.396694214876,109.99803574936162,1166.0,287539057.48,4153.01114922813,59.99259014658307
64445,75627.0,-0.8495575221238894,27170.371596768764,1473,0.16762842272007242,53028,8889,17.9,7.56,11.24,16.87,8.6,12.23,18.13,7.32,1.561373336511978,1.2573976547816503,2125.0,322695241.58,2173.846588235294,64.98866213151928,302.0,91236293.93,2545.3509933774835,110.00882817487609,1823.0,231458947.65,2112.302797586396,58.994197292069636
66136,119344.0,0.1308856596301533,23060.948584392452,2591,0.15609245433758506,72598,11332,16.38,7.26,10.6,12.44,7.01,9.63,17.93,7.36,1.6983885567625003,2.053431969404419,1504.0,219533283.01,1847.2672872340424,69.97936116122567,399.0,102580100.86,2180.6065162907266,100.0,1105.0,116953182.15,1726.9031674208145,61.00352112676056
69256,52795.0,3.8801330106447818,22656.79159910421,114,0.0735233374638579,19368,1424,20.14,9.86,13.46,18.69,11.93,15.21,20.52,9.3,0.0651665570366963,0.8265070496648291,500.0,91964947.43,2839.564,65.98984771573605,96.0,29781261.0,3797.9479166666665,85.9911606260507,404.0,62183686.43,2611.829207920792,63.49929849419348
69259,67285.0,0.23238838653933946,22807.319315213525,296,0.06478491823768358,28803,1866,21.32,10.96,14.72,19.37,11.41,14.59,21.7,10.88,0.18058003603173628,0.3021613956750635,656.0,134571708.25,3002.942073170732,67.00487816466973,116.0,40190398.0,3849.1206896551726,90.0,540.0,94381310.25,2821.17037037037,64.98814999522631
69266,152212.0,1.0308046648391356,26725.86837795529,2809,0.0840150290116998,84104,7066,22.49,11.51,15.35,18.39,11.52,14.47,22.75,11.51,0.44838564315571683,0.750211439456374,2827.0,704734228.73,4104.403608065087,62.99694189602447,181.0,87812490.59,5526.303867403315,88.99436369029961,2646.0,616921738.14,4007.138321995465,61.501068206941696
72181,143847.0,0.41535196716275813,26381.032305300578,2333,0.10076956584870043,82644,8328,14.85,6.79,9.83,12.01,6.05,8.94,16.92,7.33,2.2972175681562077,2.16224138606697,3254.0,485781095.87,1971.1730178242165,68.99350649350649,1506.0,309810823.71,2152.285524568393,86.01913380859551,1748.0,175970272.16,1815.1344393592678,55.98596227708241
